EVENT,DATE
初九,2019-06-11
初十,2019-06-12
十一,2019-06-13
十二,2019-06-14
十三,2019-06-15
十四,2019-06-16
十五,2019-06-17
十六,2019-06-18
十七,2019-06-19
十八,2019-06-20
夏至,2019-06-21
二十,2019-06-22
廿一,2019-06-23
廿二,2019-06-24
廿三,2019-06-25
廿四,2019-06-26
廿五,2019-06-27
廿六,2019-06-28
廿七,2019-06-29
廿八,2019-06-30
廿九,2019-07-01
三十,2019-07-02
己亥[猪]\\六月,2019-07-03
初二,2019-07-04
初三,2019-07-05
初四,2019-07-06
小暑,2019-07-07
初六,2019-07-08
初七,2019-07-09
初八,2019-07-10
初九,2019-07-11
初十,2019-07-12
十一,2019-07-13
十二,2019-07-14
十三,2019-07-15
十四,2019-07-16
十五,2019-07-17
十六,2019-07-18
十七,2019-07-19
十八,2019-07-20
十九,2019-07-21
二十,2019-07-22
大暑,2019-07-23
廿二,2019-07-24
廿三,2019-07-25
廿四,2019-07-26
廿五,2019-07-27
廿六,2019-07-28
廿七,2019-07-29
廿八,2019-07-30
廿九,2019-07-31
己亥[猪]\\七月,2019-08-01
初二,2019-08-02
初三,2019-08-03
初四,2019-08-04
初五,2019-08-05
初六,2019-08-06
七夕,2019-08-07
立秋,2019-08-08
初九,2019-08-09
初十,2019-08-10
十一,2019-08-11
十二,2019-08-12
十三,2019-08-13
十四,2019-08-14
中元,2019-08-15
十六,2019-08-16
十七,2019-08-17
十八,2019-08-18
十九,2019-08-19
二十,2019-08-20
廿一,2019-08-21
廿二,2019-08-22
处暑,2019-08-23
廿四,2019-08-24
廿五,2019-08-25
廿六,2019-08-26
廿七,2019-08-27
廿八,2019-08-28
廿九,2019-08-29
己亥[猪]\\八月,2019-08-30
初二,2019-08-31
初三,2019-09-01
初四,2019-09-02
初五,2019-09-03
初六,2019-09-04
初七,2019-09-05
初八,2019-09-06
初九,2019-09-07
白露,2019-09-08
十一,2019-09-09
十二,2019-09-10
十三,2019-09-11
十四,2019-09-12
中秋,2019-09-13
十六,2019-09-14
十七,2019-09-15
十八,2019-09-16
十九,2019-09-17
二十,2019-09-18
廿一,2019-09-19
廿二,2019-09-20
廿三,2019-09-21
廿四,2019-09-22
秋分,2019-09-23
廿六,2019-09-24
廿七,2019-09-25
廿八,2019-09-26
廿九,2019-09-27
三十,2019-09-28
己亥[猪]\\九月,2019-09-29
初二,2019-09-30
初三,2019-10-01
初四,2019-10-02
初五,2019-10-03
初六,2019-10-04
初七,2019-10-05
初八,2019-10-06
重阳,2019-10-07
寒露,2019-10-08
十一,2019-10-09
十二,2019-10-10
十三,2019-10-11
十四,2019-10-12
十五,2019-10-13
十六,2019-10-14
十七,2019-10-15
十八,2019-10-16
十九,2019-10-17
二十,2019-10-18
廿一,2019-10-19
廿二,2019-10-20
廿三,2019-10-21
廿四,2019-10-22
廿五,2019-10-23
霜降,2019-10-24
廿七,2019-10-25
廿八,2019-10-26
廿九,2019-10-27
己亥[猪]\\十月,2019-10-28
初二,2019-10-29
初三,2019-10-30
初四,2019-10-31
初五,2019-11-01
初六,2019-11-02
初七,2019-11-03
初八,2019-11-04
初九,2019-11-05
初十,2019-11-06
十一,2019-11-07
立冬,2019-11-08
十三,2019-11-09
十四,2019-11-10
下元,2019-11-11
十六,2019-11-12
十七,2019-11-13
十八,2019-11-14
十九,2019-11-15
二十,2019-11-16
廿一,2019-11-17
廿二,2019-11-18
廿三,2019-11-19
廿四,2019-11-20
廿五,2019-11-21
小雪,2019-11-22
廿七,2019-11-23
廿八,2019-11-24
廿九,2019-11-25
己亥[猪]\\冬月,2019-11-26
初二,2019-11-27
初三,2019-11-28
初四,2019-11-29
初五,2019-11-30
初六,2019-12-01
初七,2019-12-02
初八,2019-12-03
初九,2019-12-04
初十,2019-12-05
十一,2019-12-06
大雪,2019-12-07
十三,2019-12-08
十四,2019-12-09
十五,2019-12-10
十六,2019-12-11
十七,2019-12-12
十八,2019-12-13
十九,2019-12-14
二十,2019-12-15
廿一,2019-12-16
廿二,2019-12-17
廿三,2019-12-18
廿四,2019-12-19
廿五,2019-12-20
廿六,2019-12-21
冬至,2019-12-22
廿八,2019-12-23
廿九,2019-12-24
三十,2019-12-25
己亥[猪]\\腊月,2019-12-26
初二,2019-12-27
初三,2019-12-28
初四,2019-12-29
初五,2019-12-30
初六,2019-12-31
